node1,node2
30,2161
30,3496
31,3500
31,3556
31,6708
32,3499
32,3555
33,2056
33,2163
33,3506
33,6375
33,6478
34,3505
34,3507
34,6252
34,6388
34,6466
35,2020
35,2094
35,2894
35,3506
35,3509
35,6055
36,1815
36,2164
36,3507
36,3510
36,6507
36,7513
37,2188
37,2197
37,3509
37,3511
37,6467
37,6517
38,2193
38,2198
38,3510
38,3512
38,6516
39,2172
39,3511
39,6320
39,6342
39,6512
39,6733
40,2925
40,7555
41,2383
41,3515
42,2319
42,3514
42,5742
42,6705
42,6818
43,4669
43,4670
43,6313
44,2385
44,3522
44,6821
44,6822
45,2386
45,3521
45,5742
45,6351
45,6819
46,1482
46,3543
46,5269
46,6684
46,6908
47,3542
47,3544
47,5492
47,5494
48,1484
48,3543
48,3545
48,5488
49,1478
49,3544
49,3546
49,5490
50,1480
50,3545
50,3547
50,5487
51,1477
51,3546
51,3548
51,5489
52,1479
52,3547
52,3549
52,7001
53,2501
53,3548
54,2504
54,3553
54,5273
54,6679
55,3563
55,5122
55,5132
55,7926
55,8018
55,8021
56,64
56,67
56,3566
56,3574
56,3575
57,61
57,65
57,3565
57,3567
57,3571
57,3573
58,62
58,3566
58,3570
58,5166
59,3569
59,3577
60,68
60,1374
60,3568
60,3570
60,5229
61,57
61,1375
61,3567
61,3569
61,3571
61,5228
62,58
62,3566
62,3570
63,1375
63,3573
64,56
64,3566
64,3572
64,3574
64,5229
65,57
65,3565
65,3573
66,3565
66,3576
67,56
67,3575
68,60
68,3568
68,3578
68,5228
69,1374
69,3577
69,5165
70,3588
70,3605
71,3064
71,3615
71,4184
71,7851
72,524
72,3065
72,3614
72,3617
72,4200
72,7850
73,500
73,3579
73,3624
73,4169
73,7811
73,7818
74,461
74,525
74,3615
74,3618
74,4131
74,4199
75,451
75,462
75,3617
75,3619
75,4130
76,1724
76,3618
76,3620
76,4119
77,550
77,3619
77,3621
77,4246
77,5891
78,445
78,551
78,3620
78,3622
78,4114
78,4245
79,446
79,480
79,3621
79,3623
79,4113
80,512
80,3622
80,3624
80,4149
80,4188
81,499
81,513
81,3616
81,3623
81,4170
81,4187
82,5310
82,8098
83,1833
83,3050
83,4093
83,7839
84,2731
84,3628
84,3630
84,6839
84,7611
85,3627
85,5389
85,7336
86,1376
86,3633
86,3634
86,6443
87,2144
87,3632
87,5246
87,6448
88,2140
88,3632
88,3660
89,2142
89,3640
89,3660
89,3661
89,6440
90,2406
90,3642
90,4763
90,6864
91,992
91,1441
91,3641
91,3643
92,3638
92,3642
92,5344
92,5398
92,6441
93,2394
93,3652
93,3654
93,6657
93,7115
94,2581
94,3651
94,7524
94,7525
95,2392
95,3654
95,6835
96,2279
96,2393
96,3651
96,3653
96,6834
96,6836
97,2557
97,3657
97,6697
97,6840
97,7630
98,2559
98,3656
98,3658
98,7087
99,3657
99,3659
99,7085
99,7089
100,2555
100,3658
100,6844
100,7516
101,102
101,3634
101,3639
101,5249
101,6445
102,101
102,2145
102,3639
102,6445
102,6449
103,255
103,2959
103,3663
103,3665
103,3908
103,5729
104,256
104,3662
104,3666
104,3907
104,3960
105,1633
105,2305
105,5734
106,1629
106,3662
106,7622
107,3663
107,3937
107,3959
107,6480
107,6988
108,1790
108,3360
108,3668
108,5994
108,8282
109,1791
109,3667
109,5993
110,149
110,3682
110,4828
110,8457
110,8459
111,1052
111,2994
111,3681
111,3683
111,7664
112,2974
112,2995
112,3682
112,3684
112,7663
113,2977
113,3683
113,3685
113,7643
114,2976
114,3684
114,3686
114,7646
115,3685
115,3693
115,4752
115,5861
115,7645
116,2482
116,3704
116,4975
116,7625
117,1184
117,3703
117,3711
117,3944
118,1167
118,1197
118,2700
118,3706
118,3719
119,2263
119,3705
119,3707
119,4925
119,4958
119,7304
120,1139
120,3034
120,3304
120,3706
120,3708
120,6621
121,607
121,3707
121,3709
121,7753
121,8228
122,3708
122,3710
122,4325
122,4401
123,685
123,2499
123,3709
123,3712
124,290
124,1092
124,1220
124,3704
124,3715
125,2859
125,3710
125,3713
125,4409
125,6998
126,693
126,2857
126,3712
126,3714
126,7478
127,3698
127,3713
127,5820
127,7476
127,7755
128,3711
128,3716
128,4868
128,5013
128,5033
129,1240
129,3715
129,3717
129,5000
130,1208
130,3716
130,3718
130,4981
131,1190
131,1237
131,3717
131,3719
132,3705
132,3718
132,4988
132,5030
133,7586
133,8336
134,1347
134,1737
134,5173
134,5916
135,2640
135,3210
135,3724
135,5671
135,7220
136,151
136,2012
136,3729
136,3746
136,5677
136,8267
137,1591
137,1602
137,3722
137,3725
137,8054
138,1718
138,3724
138,3726
138,5682
138,6241
139,2002
139,2009
139,3725
139,3727
139,5872
140,3726
140,3728
140,6234
140,6238
141,1590
141,2006
141,3727
141,3729
142,1597
142,3723
142,3728
142,5670
142,6244
143,2447
143,2938
143,6927
143,7593
144,3742
144,3751
144,3900
144,5819
144,7778
145,1521
145,3740
145,5554
145,6130
145,7321
146,303
146,2716
146,3739
146,3741
146,7780
147,3043
147,3740
147,3742
147,3921
147,3957
148,269
148,1672
148,3738
148,3741
149,110
149,3744
149,7176
149,8457
149,8459
150,2624
150,3743
150,3745
150,4846
151,136
151,1070
151,3744
151,3746
151,8267
152,1025
152,3344
152,3723
152,3745
152,3747
153,1028
153,3746
153,3748
153,4796
153,4798
154,1023
154,1054
154,3747
154,3749
154,4801
155,1021
155,3748
155,3750
155,4830
156,901
156,1086
156,2981
156,2993
156,3749
156,4794
156,6112
156,6150
157,3041
157,3738
157,5537
157,5546
158,2554
158,3754
158,6845
159,3755
159,6846
159,8135
159,8139
160,250
160,2900
160,3754
160,7529
161,3756
161,3760
161,7090
161,7093
162,2400
162,6843
162,7091
162,7092
163,2896
163,7096
163,7516
164,2397
164,3759
164,6838
164,7104
165,2570
165,3758
166,168
166,2329
166,3762
166,6757
167,3761
167,3763
167,3763
168,166
168,3762
168,3762
169,313
169,3765
169,3974
169,5388
170,312
170,1435
170,3753
170,3764
171,173
171,2389
171,3767
171,6823
172,3766
172,3768
172,3768
173,171
173,3767
173,3767
174,2388
174,6821
175,2178
175,3884
175,6482
175,7203
176,179
176,181
176,223
176,3885
176,4820
176,5816
177,254
177,2955
177,3773
177,5864
177,6978
177,6989
178,306
178,3772
178,3774
178,3906
179,176
179,223
179,3773
179,3963
179,5816
180,2473
180,2481
180,7212
180,7490
181,176
181,3175
181,3777
181,3885
181,4820
182,3776
182,6989
182,7999
183,256
183,3909
184,3780
184,5897
185,3788
185,3859
185,5130
186,3779
186,3782
