rid,x,y
0,3100,1000
1,4000,1000
2,5000,1000
3,6000,1000
4,6900,1000
5,3100,2000
6,4000,2000
7,5000,2000
8,6000,2000
9,6900,2000
10,3100,3000
11,4000,3000
12,5000,3000
13,6000,3000
14,6900,3000
15,3100,4000
16,4000,4000
17,5000,4000
18,6000,4000
19,6900,4000
20,3100,5000
21,4000,5000
22,5000,5000
23,6000,5000
24,6900,5000
25,3100,6000
26,4000,6000
27,5000,6000
28,6000,6000
29,6900,6000
-100102319,3107.7725,2498.3424999999997
-100226633#0,3162.48,2086.6800000000003
-100226633#2,3213.445,2124.7525
-101134275#0,3549.2200000000003,2713.79
-101134275#1,3585.795,2743.0150000000003
-102126347#0,3654.7425000000003,2795.48
-102126347#1,3720.0200000000004,2849.065
-102126347#2,3762.835,2883.1949999999997
-102126347#3,3809.0,2919.4049999999997
-102126347#4,3847.14,2947.42
-1023838973#1,3379.653333333333,5063.246666666667
-1027009172#1,3185.6800000000003,1459.6466666666668
-1027009172#3,3289.4300000000003,1470.5766666666666
-1027009173#2,3171.623333333333,1003.2566666666667
-1028258366#2,3416.6346153846152,1790.7038461538464
-1028258371#2,3368.055,1673.9299999999998
-1028573261#2,6422.8375,1405.9175
-1028573261#3,6396.795,1331.385
-1028573261#4,6369.3099999999995,1257.545
-1028573261#5,6352.675,1179.855
-1028573261#6,6347.1900000000005,1112.6550000000002
-1028573261#7,6343.97,1073.26
-1028573261#8,6341.305,1040.6149999999998
-1028573261#9,6328.82,889.3299999999999
-1028573264#1,5615.056666666666,1366.0833333333333
-1028619490#1,4678.03,4091.693333333333
-103751350#0,3634.52,5841.450000000001
-103751350#1,3598.005,5840.175
-103751350#3,3553.8566666666666,5839.303333333333
-103751358#0,3577.4449999999997,5765.075000000001
-103751358#1,3577.385,5790.96
-103751358#2,3576.755,5823.514999999999
-103751358#4,3576.29,5886.2275
-103751367#0,3617.0150000000003,5781.705
-103751367#1,3616.84,5825.004999999999
-103751367#3,3616.745,5887.875
-103751368#1,3648.735,5889.28
-103751368#2,3652.24,5815.443333333334
-103751369#0,3558.3975,5783.54
-103751369#2,3544.7333333333336,5800.616666666666
-103945934,4875.01,5299.99
-103945938#0,4239.615,5256.495000000001
-103945938#1,4298.625,5258.975
-103945938#10,4634.495,5274.0599999999995
-103945938#2,4358.4400000000005,5261.59
-103945938#3,4411.75,5264.3099999999995
-103945938#4,4457.05,5266.655
-103945938#5,4481.275,5268.125
-103945938#6,4514.365,5269.835
-103945938#7,4551.16,5271.5599999999995
-103945938#8,4583.45,5273.105
-103945938#9,4613.225,5274.635
-103945939#1,4874.4974999999995,5378.6175
-1047585122#1,3583.5499999999997,5572.483333333334
-1056328000#2,3988.46,1774.03
-1056328000#4,4001.8866666666668,1654.9133333333332
-1056328003#0,4707.87,2987.943333333333
-1056328003#1,4673.373333333333,3031.563333333333
-1056328004,4704.575000000001,2961.065
-1056328493#1,4676.3966666666665,2908.56
-1056328496#1,4662.509999999999,2628.1666666666665
-1056328496#3,4807.003333333333,2642.7433333333333
-1056328496#6,4843.7425,2694.1775
-1056330397#0,4009.83,2174.17
-1056330397#1,4138.665,2188.635
-1056330398#0,3936.995,2280.42
-1056330398#1,3944.1949999999997,2201.165
-1056330400#1,4311.01,1558.8400000000001
-1056330400#2,4373.035,1567.085
-1056330400#3,4477.375,1578.255
-1056330400#5,4622.71,1591.4666666666665
-1056330401#1,4675.016666666666,2935.7966666666666
-1056330402#2,4628.025,2968.8975
-1056779401#0,7068.895,4593.15
-1056779401#1,7056.9,4519.96
-1056779404,7199.168,5445.861999999999
-1056779405,7101.85,4630.195
-1056779406#0,7034.153333333333,4387.533333333334
-1056779408#0,5672.735,5483.285
-1056779408#1,5630.240000000001,5477.816666666666
-1057050913#1,5672.136666666666,4672.8533333333335
-1057050913#3,5855.0233333333335,4616.650000000001
-1057050913#5,5943.206666666666,4589.509999999999
-1057050913#6,6031.75,4564.9
-1057050913#7,6104.43,4543.9
-1057050913#9,6160.003333333334,4526.466666666666
-1057054858#0,6851.790000000001,4734.16
-1057054858#1,6830.34,4737.575
-1057054858#10,6617.1849999999995,4779.01
-1057054858#12,6564.93,4788.625
-1057054858#15,6507.486666666667,4799.223333333333
-1057054858#17,6440.674999999999,4809.915
-1057054858#18,6396.21,4811.92
-1057054858#19,6388.32,4813.135
-1057054858#2,6797.76,4747.665
-1057054858#20,6378.305,4819.5650000000005
-1057054858#22,6334.21,4826.365
-1057054858#23,6281.975,4834.32
-1057054858#5,6761.996666666666,4753.4766666666665
-1057054858#6,6735.315,4753.33
-1057054858#7,6700.93,4759.35
-1057054858#8,6673.91,4764.09
-1057054858#9,6648.485,4768.700000000001
-1057072109,6035.605,3977.24
-1058030309#1,3327.485,5261.845
-1060224075#0,5083.566666666667,4774.706666666666
-1060224075#12,5533.963333333333,4580.975555555556
-1060224075#2,5194.6,4729.695
-1060224075#3,5259.825000000001,4701.105
-1060224075#5,5315.7699999999995,4676.73
-1060224075#6,5352.225,4662.25
-1060224075#7,5378.375,4650.6
-1060224075#8,5411.085,4634.385
-1060226508,6234.185,3445.93
-1060235882#2,6917.653333333333,4050.9
-1060235883#1,6638.946666666667,4113.796666666666
-1060235883#2,6721.264999999999,4104.13
-1060235883#3,6791.525,4094.385
-1060235883#6,6863.335,4082.6475
-1060235884#1,5617.603333333333,4661.740000000001
-1060235884#2,5613.885,4622.485000000001
-1060235884#4,5605.666666666667,4578.233333333334
-1060235885#1,5616.93,4547.3966666666665
-1060235885#2,5650.45,4534.965
-1060235885#3,5676.195,4524.455
-1060235885#4,5743.323333333334,4495.206666666666
-1060235885#5,5788.77,4475.139999999999
-1080435559,6919.2266666666665,4015.66
-1122405187#0,4633.38,1961.1514285714286
-1122405187#1,4613.085,2157.335
-1122405187#3,4609.536666666667,2211.4866666666667
-1123373676#0,5234.49,1621.1314285714286
-1123373676#2,4978.42,1593.6233333333332
-1126127266#1,4805.99,1649.8739999999998
-1126198220#1,3994.5919999999996,1880.702
-1126198220#2,4021.786666666667,1885.7233333333334
-1128007851#1,3533.3059999999996,1139.982
-1128007851#2,3566.9799999999996,1138.5033333333333
-1128007851#3,3562.7566666666667,1135.8866666666665
-1128007855#0,3946.742222222222,1593.7222222222222
-1128007855#2,4012.422857142857,1497.412857142857
-1137227887#1,3575.5074999999997,1674.385
-1137227887#2,3588.0033333333336,1663.46
-1137227887#3,3588.75,1653.5308333333332
-1137231187#1,3581.3716666666664,1709.9566666666667
-1144401618,7057.895,4238.875
-1144401619#1,6923.496666666666,4249.906666666667
-1144401620#1,6895.546666666666,4334.27
-1144401620#2,6899.625,4304.585
-1144401620#3,6900.955,4268.389999999999
-1144401621,6998.205,3692.525
-1145582009#1,6959.086666666667,4267.59
-1145582009#2,6960.735000000001,4314.985000000001
-1151903593,6994.76,4540.17
-115591837#0,4319.27,4506.91
-115591837#10,4284.905,4140.37
-115591837#2,4311.503333333333,4441.733333333334
-115591837#3,4309.23,4400.305
-115591837#4,4306.385,4369.905000000001
-115591837#5,4302.84,4331.969999999999
-115591837#6,4299.225,4293.34
-115591837#7,4297.625,4276.295
-115591837#8,4295.83,4257.07
-115591837#9,4291.41,4209.855
-115591838,4380.885,4009.83
-115591839#1,4366.583333333333,3968.8866666666668
-115591839#3,4370.45,3930.273333333333
-115591839#5,4376.223333333334,3872.7233333333334
-115591839#7,4384.3125,3798.13
-115591840#3,4824.652,3963.6459999999997
-115591841#0,4315.865,3677.7
-115591841#11,4286.0233333333335,3960.1633333333334
-115591841#13,4279.1849999999995,4021.4474999999998
-115591841#2,4311.166666666667,3732.0066666666667
-115591841#5,4302.872,3807.256
-115591841#7,4296.44,3865.6366666666668
-115591841#9,4290.256666666667,3921.7533333333336
-115591846#0,4084.75,4219.4
-115591846#1,4153.855,4209.754999999999
-115591848#0,4464.775,4279.77
-115591848#1,4464.715,4324.639999999999
-115591848#3,4462.85,4375.205
-115591849#1,4382.014999999999,4144.055
-115591849#2,4378.535,4196.575000000001
-115591849#3,4377.38,4229.06
-115591849#4,4377.885,4259.535
-115591849#6,4376.610000000001,4295.27
-115591849#7,4373.6849999999995,4332.4400000000005
-115591849#8,4371.865,4383.344999999999
-115591857#0,4227.29,4117.88
-115591857#2,4231.1,4158.255
-115591857#3,4232.34,4188.445
-115591857#4,4236.98,4220.54
-116436232#1,6872.013333333333,4254.2266666666665
-116436234#0,6799.656666666667,4152.703333333334
-116436234#1,6848.45,4140.969999999999
-116436235#0,6776.285,4166.299999999999
-116436235#1,6747.514999999999,4170.08
-116436235#2,6731.16,4172.145
-116436235#4,6652.293333333334,4184.213333333333
-116436236#0,6817.615,3892.865
-116436236#1,6823.755,3939.535
-116436238,6794.67,4176.275
-116436239#1,7005.886666666666,4243.990000000001
-116436239#2,6975.139999999999,4241.24
-116436241#0,6950.345,4797.865
-116436241#1,6954.8150000000005,4815.955
-116436241#2,6962.98,4849.0
-116436241#3,6970.0,4877.375
-116436241#4,6975.755,4900.530000000001
