rid,x,y,KMeans_Labels
0,3100.0,1000.0,0
1,4000.0,1000.0,1
2,5000.0,1000.0,2
3,6000.0,1000.0,3
4,6900.0,1000.0,4
5,3100.0,2000.0,5
6,4000.0,2000.0,6
7,5000.0,2000.0,7
8,6000.0,2000.0,8
9,6900.0,2000.0,9
10,3100.0,3000.0,10
11,4000.0,3000.0,11
12,5000.0,3000.0,12
13,6000.0,3000.0,13
14,6900.0,3000.0,14
15,3100.0,4000.0,15
16,4000.0,4000.0,16
17,5000.0,4000.0,17
18,6000.0,4000.0,18
19,6900.0,4000.0,19
20,3100.0,5000.0,20
21,4000.0,5000.0,21
22,5000.0,5000.0,22
23,6000.0,5000.0,23
24,6900.0,5000.0,24
25,3100.0,6000.0,25
26,4000.0,6000.0,26
27,5000.0,6000.0,27
28,6000.0,6000.0,28
29,6900.0,6000.0,29
-100102319,3107.7725,2498.3425,5
-100226633#0,3162.48,2086.6800000000003,5
-100226633#2,3213.445,2124.7525,5
-101134275#0,3549.2200000000003,2713.79,10
-101134275#1,3585.795,2743.0150000000003,11
-102126347#0,3654.7425,2795.48,11
-102126347#1,3720.02,2849.065,11
-102126347#2,3762.835,2883.195,11
-102126347#3,3809.0,2919.405,11
-102126347#4,3847.14,2947.42,11
-1023838973#1,3379.653333333333,5063.246666666667,20
-1027009172#1,3185.6800000000003,1459.6466666666668,0
-1027009172#3,3289.4300000000003,1470.5766666666666,0
-1027009173#2,3171.623333333333,1003.2566666666668,0
-1028258366#2,3416.6346153846152,1790.7038461538464,5
-1028258371#2,3368.055,1673.9299999999998,5
-1028573261#2,6422.8375,1405.9175,3
-1028573261#3,6396.795,1331.385,3
-1028573261#4,6369.31,1257.545,3
-1028573261#5,6352.675,1179.855,3
-1028573261#6,6347.1900000000005,1112.6550000000002,3
-1028573261#7,6343.97,1073.26,3
-1028573261#8,6341.305,1040.6149999999998,3
-1028573261#9,6328.82,889.3299999999999,3
-1028573264#1,5615.056666666666,1366.0833333333333,3
-1028619490#1,4678.03,4091.693333333333,17
-103751350#0,3634.52,5841.450000000001,26
-103751350#1,3598.005,5840.175,26
-103751350#3,3553.8566666666666,5839.303333333333,26
-103751358#0,3577.445,5765.075000000001,26
-103751358#1,3577.385,5790.96,26
-103751358#2,3576.755,5823.514999999999,26
-103751358#4,3576.29,5886.2275,26
-103751367#0,3617.015,5781.705,26
-103751367#1,3616.84,5825.004999999999,26
-103751367#3,3616.745,5887.875,26
-103751368#1,3648.735,5889.28,26
-103751368#2,3652.24,5815.443333333334,26
-103751369#0,3558.3975,5783.54,26
-103751369#2,3544.7333333333336,5800.616666666666,25
-103945934,4875.01,5299.99,22
-103945938#0,4239.615,5256.495000000001,21
-103945938#1,4298.625,5258.975,21
-103945938#10,4634.495,5274.06,22
-103945938#2,4358.4400000000005,5261.59,21
-103945938#3,4411.75,5264.31,21
-103945938#4,4457.05,5266.655,21
-103945938#5,4481.275,5268.125,21
-103945938#6,4514.365,5269.835,22
-103945938#7,4551.16,5271.56,22
-103945938#8,4583.45,5273.105,22
-103945938#9,4613.225,5274.635,22
-103945939#1,4874.4975,5378.6175,22
-1047585122#1,3583.55,5572.483333333334,26
-1056328000#2,3988.46,1774.03,6
-1056328000#4,4001.8866666666654,1654.9133333333332,6
-1056328003#0,4707.87,2987.943333333333,12
-1056328003#1,4673.373333333333,3031.563333333333,12
-1056328004,4704.575000000001,2961.065,12
-1056328493#1,4676.3966666666665,2908.56,12
-1056328496#1,4662.509999999999,2628.1666666666665,12
-1056328496#3,4807.003333333333,2642.7433333333333,12
-1056328496#6,4843.7425,2694.1775,12
-1056330397#0,4009.83,2174.17,6
-1056330397#1,4138.665,2188.635,6
-1056330398#0,3936.995,2280.42,6
-1056330398#1,3944.195,2201.165,6
-1056330400#1,4311.01,1558.84,6
-1056330400#2,4373.035,1567.085,6
-1056330400#3,4477.375,1578.255,6
-1056330400#5,4622.71,1591.4666666666665,7
-1056330401#1,4675.016666666666,2935.7966666666666,12
-1056330402#2,4628.025,2968.8975,12
-1056779401#0,7068.895,4593.15,24
-1056779401#1,7056.9,4519.96,24
-1056779404,7199.168,5445.861999999999,24
-1056779405,7101.85,4630.195,24
-1056779406#0,7034.153333333333,4387.533333333334,19
-1056779408#0,5672.735,5483.285,23
-1056779408#1,5630.240000000001,5477.816666666666,23
-1057050913#1,5672.136666666666,4672.8533333333335,23
-1057050913#3,5855.0233333333335,4616.650000000001,23
-1057050913#5,5943.206666666666,4589.509999999999,23
-1057050913#6,6031.75,4564.9,23
-1057050913#7,6104.43,4543.9,23
-1057050913#9,6160.003333333334,4526.466666666666,23
-1057054858#0,6851.790000000001,4734.16,24
-1057054858#1,6830.34,4737.575,24
-1057054858#10,6617.185,4779.01,24
-1057054858#12,6564.93,4788.625,24
-1057054858#15,6507.486666666667,4799.223333333333,24
-1057054858#17,6440.674999999999,4809.915,23
-1057054858#18,6396.21,4811.92,23
-1057054858#19,6388.32,4813.135,23
-1057054858#2,6797.76,4747.665,24
-1057054858#20,6378.305,4819.5650000000005,23
-1057054858#22,6334.21,4826.365,23
-1057054858#23,6281.975,4834.32,23
-1057054858#5,6761.996666666666,4753.4766666666665,24
-1057054858#6,6735.315,4753.33,24
-1057054858#7,6700.93,4759.35,24
-1057054858#8,6673.91,4764.09,24
-1057054858#9,6648.485,4768.700000000001,24
-1057072109,6035.605,3977.24,18
-1058030309#1,3327.485,5261.845,20
-1060224075#0,5083.566666666667,4774.706666666666,22
-1060224075#12,5533.963333333333,4580.975555555556,23
-1060224075#2,5194.6,4729.695,22
-1060224075#3,5259.825000000001,4701.105,22
-1060224075#5,5315.77,4676.73,22
-1060224075#6,5352.225,4662.25,22
-1060224075#7,5378.375,4650.6,22
-1060224075#8,5411.085,4634.385,22
-1060226508,6234.185,3445.93,13
-1060235882#2,6917.653333333333,4050.9,19
