RSU,CAR,X,Y,dBm,ReceiveTime,SentTime
85,3724,6910.15,2346.31,-85.807,1530.40013896956,1530.4
85,3724,6910.26,2346.33,-85.8088,1530.500138969655,1530.5
85,3724,6910.4,2346.36,-85.811,1530.60013896977,1530.6
85,3724,6910.56,2346.4,-85.8135,1530.700138969903,1530.7
85,3724,6910.74,2346.44,-85.8164,1530.800138970056,1530.8
75,6184,4970.68,1884.71,-129.407,1544.754263266172,1544.7
75,682,4968.36,1887.99,-125.528,1544.754491104581,1544.7
75,6184,4968.36,1884.79,-126.597,1544.85426326778,1544.8
75,682,4938.43,1889.02,-126.949,1545.454471345954,1545.4
75,6184,4938.38,1885.82,-127.657,1545.654250299981,1545.6
75,6184,4935.93,1885.91,-126.864,1545.754276303464,1545.7
75,502,4968.42,1887.99,-125.597,1545.800140375356,1545.8
75,6184,4933.5,1885.99,-126.147,1545.854276307057,1545.8
75,6184,4931.06,1886.08,-125.489,1545.954276310763,1545.9
75,6184,4928.62,1886.16,-124.889,1546.054276314583,1546.0
75,502,4938.37,1889.03,-126.931,1546.500140366084,1546.5
75,5248,4968.98,1884.77,-127.285,1546.554686322537,1546.5
75,502,4935.52,1889.13,-126.049,1546.600147453603,1546.6
75,502,4932.67,1889.22,-125.255,1546.700140371883,1546.7
75,502,4929.82,1889.32,-124.541,1546.800141649028,1546.8
75,5248,4938.84,1885.81,-127.817,1547.554498534669,1547.5
75,5248,4936.87,1885.88,-127.158,1547.600141537452,1547.6
75,5248,4934.9,1885.94,-126.552,1547.700140464237,1547.7
75,5248,4932.93,1886.01,-125.988,1547.854498543247,1547.8
75,5248,4930.95,1886.08,-125.461,1547.900141546263,1547.9
75,5248,4928.97,1886.15,-124.974,1548.000140476366,1548.0
75,5248,4927.0,1886.22,-124.514,1548.154485552507,1548.1
80,1564,5980.08,2041.85,-128.902,1553.200140656244,1553.2
80,1564,5981.01,2040.72,-109.553,1553.300142056686,1553.3
80,1564,5981.94,2039.57,-108.157,1553.400147632397,1553.4
80,1564,5982.89,2038.4,-97.9605,1553.500147629066,1553.5
80,1564,5983.85,2037.22,-97.3231,1553.600147625759,1553.6
80,1564,5984.81,2036.03,-96.6804,1553.7001476225,1553.7
80,1564,5985.79,2034.83,-96.031,1553.800147619289,1553.8
80,1564,5986.78,2033.62,-95.3731,1553.900147616128,1553.9
