RSU,CAR,X,Y,dBm,ReceiveTime,SentTime
55,304,5681.43,1206.09,-116.685,0.354304267893,0.3
85,652,6909.27,2250.49,-82.8193,0.954248891381,0.9
85,652,6909.28,2250.51,-82.8199,1.054248891441,1.0
55,304,5681.43,1206.1,-116.678,1.054317267906,1.0
85,706,6934.35,2512.83,-88.5942,1.054445641941,1.0
85,706,6934.35,2512.82,-88.594,1.100140641905,1.1
85,652,6909.28,2250.54,-82.8211,1.154248891557,1.1
85,706,6934.35,2512.8,-88.5936,1.20014064168,1.2
85,652,6909.28,2250.59,-82.8229,1.254222891733,1.2
85,706,6934.35,2512.77,-88.5931,1.300143397914,1.3
85,652,6909.29,2250.66,-82.8253,1.354248891959,1.3
55,304,5681.43,1206.11,-116.672,1.354317267917,1.3
55,898,5765.95,1262.59,-86.1822,1.354512515401,1.3
85,706,6934.34,2512.73,-88.5924,1.400140640851,1.4
85,652,6909.3,2250.75,-82.8281,1.454248892234,1.4
55,898,5765.93,1262.59,-86.1826,1.454538515383,1.4
85,706,6934.34,2512.68,-88.5916,1.50014064027,1.5
85,652,6909.3,2250.84,-82.8314,1.554209892554,1.5
55,898,5765.9,1262.59,-86.1833,1.554538515354,1.5
85,706,6934.33,2512.62,-88.5906,1.600143397416,1.6
85,652,6909.31,2250.96,-82.8352,1.654235892924,1.6
55,1078,5878.24,1033.83,-77.4648,1.654265751581,1.6
55,304,5681.44,1206.12,-116.665,1.65446245112,1.6
55,898,5765.85,1262.59,-86.1843,1.654657698503,1.6
85,706,6934.33,2512.55,-88.5894,1.700143397188,1.7
85,652,6909.33,2251.08,-82.8395,1.754209893342,1.7
55,1078,5878.26,1033.83,-77.4641,1.754291751534,1.7
55,898,5765.78,1262.59,-86.1856,1.754696698498,1.7
85,706,6934.32,2512.47,-88.5881,1.800143396928,1.8
85,652,6909.34,2251.23,-82.8443,1.854235893817,1.8
55,1078,5878.29,1033.84,-77.4626,1.85430475144,1.8
55,898,5765.69,1262.59,-86.1873,1.854501338058,1.8
85,706,6934.31,2512.39,-88.5866,1.900143396636,1.9
85,652,6909.35,2251.39,-82.8498,1.95423589435,1.9
55,1078,5878.34,1033.84,-77.4605,1.954265751299,1.9
120,1240,3962.88,3983.92,-96.1123,1.954394294531,1.9
55,898,5765.59,1262.59,-86.1892,1.954462338487,1.9
55,304,5681.44,1206.13,-116.656,1.954670767377,1.9
120,1240,3962.87,3983.91,-96.1178,2.000141294562,2.0
85,706,6934.3,2512.29,-88.585,2.000143396313,2.0
85,652,6909.37,2251.56,-82.8557,2.054235894924,2.0
55,1078,5878.4,1033.84,-77.4577,2.054265751117,2.0
85,1294,6905.99,2045.47,-71.3423,2.054430943781,2.0
55,898,5765.48,1262.59,-86.1915,2.054462339,2.0
85,1294,6906.01,2045.47,-71.3446,2.100138943796,2.1
120,1240,3962.85,3983.89,-96.1289,2.100141294625,2.1
85,652,6909.38,2251.75,-82.8618,2.15422289553,2.1
55,1078,5878.47,1033.84,-77.4542,2.154278750888,2.1
55,898,5765.35,1262.59,-86.194,2.154475339576,2.1
55,304,5681.44,1206.14,-116.649,2.154683767237,2.1
85,1294,6906.05,2045.48,-71.3491,2.200138944427,2.2
120,1240,3962.82,3983.85,-96.1455,2.200141294719,2.2
85,652,6909.4,2251.95,-82.8686,2.254209896186,2.2
55,1078,5878.57,1033.84,-77.45,2.254265750613,2.2
55,898,5765.21,1262.59,-86.1967,2.254646473248,2.2
85,1294,6906.12,2045.49,-71.3557,2.300138945111,2.3
120,1240,3962.78,3983.8,-96.1676,2.300141294845,2.3
85,652,6909.42,2252.16,-82.8758,2.354248896893,2.3
55,1078,5878.67,1033.84,-77.4452,2.354304750299,2.3
120,1480,3912.36,4035.21,-118.078,2.354306587313,2.3
55,898,5765.05,1262.59,-86.1997,2.354501340929,2.3
85,1294,6906.2,2045.5,-71.3646,2.40013894585,2.4
120,1240,3962.73,3983.74,-96.1946,2.40014468084,2.4
85,652,6909.44,2252.39,-82.8835,2.454235897651,2.4
55,1078,5878.79,1033.85,-77.4399,2.454278749948,2.4
120,1480,3912.34,4035.22,-118.088,2.454319587377,2.4
55,898,5764.89,1262.59,-86.2029,2.454659473256,2.4
85,1294,6906.31,2045.52,-71.3756,2.500138946644,2.5
55,1552,6394.16,965.869,-85.9706,2.500139985514,2.5
120,1240,3962.67,3983.67,-96.2261,2.500144681125,2.5
85,652,6909.46,2252.63,-82.8917,2.554222898449,2.5
55,1078,5878.92,1033.85,-77.4338,2.55429174955,2.5
55,304,5681.44,1206.16,-116.633,2.554438226784,2.5
55,898,5764.71,1262.58,-86.2063,2.554672473338,2.5
85,1294,6906.43,2045.54,-71.3887,2.60013894748,2.6
55,1552,6394.19,965.866,-85.9712,2.600139985604,2.6
55,1078,5879.07,1033.85,-77.427,2.654291749108,2.6
55,304,5681.44,1206.17,-116.629,2.65443822705,2.6
55,898,5764.52,1262.58,-86.21,2.654659473471,2.6
55,1552,6394.23,965.863,-85.972,2.700139985739,2.7
55,1078,5879.22,1033.86,-77.4199,2.754278748638,2.7
55,898,5764.32,1262.58,-86.214,2.75467247365,2.7
55,1552,6394.28,965.858,-85.9732,2.800139985917,2.8
55,1078,5879.39,1033.86,-77.4123,2.854304748141,2.8
55,304,5681.45,1206.18,-116.619,2.854451227752,2.8
55,898,5764.11,1262.58,-86.2181,2.854672473885,2.8
55,1552,6394.34,965.852,-85.9746,2.900139986131,2.9
55,1078,5879.57,1033.87,-77.404,2.954291747603,2.9
55,898,5763.87,1262.58,-86.2226,2.954514346545,2.9
55,1846,5700.88,1207.89,-127.432,2.954828804574,2.9
55,1552,6394.42,965.846,-85.9763,3.000139986382,3.0
55,1078,5879.76,1033.87,-77.3953,3.054304747033,3.0
55,898,5763.63,1262.58,-86.2275,3.054514347733,3.0
55,304,5681.45,1206.2,-116.609,3.054805918809,3.0
55,1552,6394.51,965.838,-85.9782,3.100139986678,3.1
55,1798,5681.43,1206.09,-116.684,3.154243611321,3.1
55,1846,5700.84,1207.9,-127.443,3.154646626588,3.1
55,1552,6394.61,965.829,-85.9804,3.20013998701,3.2
55,898,5763.09,1262.58,-86.2378,3.254607876774,3.2
55,1552,6394.72,965.819,-85.9828,3.300139987383,3.3
55,898,5762.81,1262.57,-86.2434,3.354620877266,3.3
55,1552,6394.84,965.808,-85.9855,3.400139987794,3.4
